Rp_9584	Rp_9569
Rp_9586	Rp_9577
Rp_9587	Rp_9585
Rp_9589	Rp_9587
Rp_9590	Rp_9577
Rp_9591	Rp_9580
Rp_9592	Rp_9580
Rp_9598	Rp_9590
Rp_9616	Rp_4070
Rp_9628	Rp_5709
Rp_9629	Rp_6256
Rp_9650	Rp_9649
Rp_9651	Rp_9650
Rp_9654	Rp_9652
Rp_9655	Rp_9652
Rp_9657	Rp_9652
Rp_9661	Rp_3597
Rp_9695	Rp_9693
Rp_9704	Rp_9695
Rp_9770	Rp_9769
Rp_9775	Rp_4112
Rp_9789	Rp_3249
Rp_9790	Rp_9789
Rp_9797	Rp_9796
Rp_9801	Rp_9174
Rp_9813	Rp_9768
Rp_9959	Rp_9885
Rp_9960	Rp_9919
Rp_9962	Rp_9961
Rp_9964	Rp_9962
Rp_9966	Rp_9964
Rp_9969	Rp_9968
Rp_9970	Rp_9969
Rp_9971	Rp_9970
Rp_9972	Rp_9971
Rp_9973	Rp_9972
Rp_9974	Rp_9973
Rp_9976	Rp_9974
Rp_9977	Rp_9976
Rp_9978	Rp_9977
Rp_9979	Rp_9978
Rp_9980	Rp_9979
Rp_9981	Rp_9980
Rp_9982	Rp_9981
Rp_9983	Rp_9982
Rp_9984	Rp_9983
Rp_9985	Rp_9984
Rp_9986	Rp_9985
Rp_9987	Rp_9986
Rp_9988	Rp_9987
Rp_9989	Rp_9988
Rp_9990	Rp_9989
Rp_9991	Rp_9990
Rp_9997	Rp_9993
Rp_10048	Rp_9862
Rp_10050	Rp_9873
Rp_10056	Rp_9071
Rp_10073	Rp_10072
Rp_10081	Rp_10066
Rp_10084	Rp_10081
Rp_10087	Rp_9652
Rp_10130	Rp_9652
Rp_10140	Rp_9825
Rp_10151	Rp_10133
Rp_10165	Rp_3172
Rp_10193	Rp_10189
Rp_10194	Rp_10189
Rp_10196	Rp_10189
Rp_10265	Rp_10264
Rp_10318	Rp_10193
Rp_10558	Rp_4826
Rp_10565	Rp_10080
Rp_10568	Rp_10245
Rp_10570	Rp_10569
Rp_10580	Rp_10195
Rp_10603	Rp_10567
Rp_10604	Rp_10245
Rp_10620	Rp_10619
Rp_10662	Rp_10079
Rp_10663	Rp_10079
Rp_10673	Rp_10672
Rp_10682	Rp_10655
Rp_10689	Rp_10546
Rp_10694	Rp_10687
Rp_10970	Rp_10804
Rp_10971	Rp_8848
Rp_11331	Rp_10028
Rp_11341	Rp_10544
Rp_11502	Rp_9335
Rp_11504	Rp_11503
Rp_11531	Rp_11517
Rp_11533	Rp_10682
Rp_11534	Rp_10682
Rp_11551	Rp_11271
Rp_12196	Rp_12079
Rp_12217	Rp_12215
Rp_12290	Rp_10321
Rp_12291	Rp_10321
Rp_12352	Rp_12293
Rp_12387	Rp_12386
Rp_12423	Rp_12293
Rp_12459	Rp_12446
Rp_12460	Rp_12446
Rp_12472	Rp_12449
